logo,logo_email,name,url,last_payment,all_time,since,level
sponsors/84.png,sponsors/84.png,84codes,https://www.84codes.com/,"€22,000","€765,000","Apr 1, 2018",5000
manas-orange.svg,manas-orange.png,Manas.Tech,https://manas.tech/,"$5,000","$1,390,000","Jun 19, 2009",5000
